Player,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,TFK,TFD,CTFK,CTFD,TRK,TRD,TRFK,TRFD,CTTRFK,CTTRFD,TTRFK,TTRFD,1vX,1v5,1v4,1v3,1v2,1v1,3k+,5k,4k,3k,2k,1k
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                                      Sorbear                                                      ,21,12,1,9,1.80,                            72.1                          ,38%,75%,                            1.34                          ,                            6                          ,                            0                          ,                            19.3s                          ,                            1                          ,                            1                          ,                            2                          ,                            1                          ,                            0                          ,                            1                          ,                            2                          ,                            0                          ,                            6                          ,                            1                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            1                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            1                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            6                          ,                            9                          
                                                                                      Mazda_M8                                                      ,17,17,10,0,1.00,92,47%,75%,                            1.19                          ,                            1                          ,                            0                          ,                            3s                          ,                            169                          ,                            1                          ,                            3                          ,                            2                          ,                            2                          ,                            1                          ,                            1                          ,                            1                          ,                            3                          ,                            5                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            1                          ,                            0                          ,                            0                          ,                            1                          ,                            1                          ,                            12                          
                                                                                      Cowpoke-JFK                                                      ,14,14,4,0,1.00,                            69.8                          ,71%,83.3%,                            1.11                          ,                            7                          ,                            3                          ,                            25.5s                          ,                            8                          ,                            0                          ,                            2                          ,                            2                          ,                            0                          ,                            0                          ,                            2                          ,                            2                          ,                            2                          ,                            5                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            1                          ,                            0                          ,                            0                          ,                            1                          ,                            2                          ,                            7                          
                                                                                      VinSha_                                                      ,19,18,4,1,1.10,                            85.3                          ,53%,62.5%,                            1.10                          ,                            1                          ,                            1                          ,                            4.7s                          ,                            90                          ,                            0                          ,                            2                          ,                            2                          ,                            2                          ,                            1                          ,                            0                          ,                            1                          ,                            3                          ,                            3                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            2                          ,                            0                          ,                            2                          ,                            0                          ,                            1                          ,                            9                          
                                                                                      sNada                                                      ,13,19,5,-6,0.70,                            57.7                          ,69%,70.8%,                            0.84                          ,                            8                          ,                            0                          ,                            25.6s                          ,                            167                          ,                            2                          ,                            5                          ,                            3                          ,                            3                          ,                            2                          ,                            2                          ,                            1                          ,                            2                          ,                            2                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            3                          ,                            7                          
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                                      Cloaks                                                      ,20,18,5,2,1.10,98,40%,79.2%,                            1.30                          ,                            4                          ,                            0                          ,                            14.5s                          ,                            151                          ,                            -1                          ,                            4                          ,                            5                          ,                            2                          ,                            4                          ,                            2                          ,                            1                          ,                            6                          ,                            3                          ,                            1                          ,                            1                          ,                            0                          ,                            1                          ,                            1                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            0                          ,                            1                          ,                            0                          ,                            1                          ,                            0                          ,                            4                          ,                            8                          
                                                                                      SixSided-                                                      ,19,18,4,1,1.10,                            74.9                          ,37%,83.3%,                            1.22                          ,                            8                          ,                            3                          ,                            33s                          ,                            145                          ,                            3                          ,                            3                          ,                            0                          ,                            1                          ,                            0                          ,                            2                          ,                            0                          ,                            3                          ,                            3                          ,                            1                          ,                            0                          ,                            1                          ,                            0                          ,                            0                          ,                            0                          ,                            1                          ,                            0                          ,                            0                          ,                            0                          ,                            1                          ,                            0                          ,                            1                          ,                            0                          ,                            0                          ,                            1                          ,                            5                          ,                            6                          
